species,best_model,intercept_z,beta_confidence_z,beta_site_conf_z,beta_site_week_conf_z,AIC,AUC,threshold,precision,recall,F1
acrocephalus arundinaceus,m3,-22.07351632900049,0.006310611661307598,-15.219990549451207,6.671221657709548,241.008692722231,0.9891107078039933,0.18624805231107064,1,0.9473684210526315,0.972972972972973
acrocephalus schoenobaenus,m2,-10.345306395643613,1.056877416383526,6.0803593362367305,NA,209.440925665316,0.9739098481136631,0.07904052901915096,0.9615384615384616,0.9615384615384616,0.9615384615384616
acrocephalus scirpaceus,m1,-4.570219756121515,-0.137494087459339,NA,NA,629.8908683524647,0.9884731670445956,0.21622859671075817,0.9032258064516129,1,0.9491525423728813
anas platyrhynchos,m3,7260.142358339997,-0.16128502761112598,-3201.794336246189,0.6913072295217619,103.50436496216871,0.5984848484848485,1.611384628552974e-4,0.75,0.5,0.6
certhia familiaris,m3,-2414.8524646831356,0.03135145196126918,9057.956447236964,-1.1430515583327938,117.802924800341,0.6509090909090908,0.24249748509298852,0.4230769230769231,1,0.5945945945945945
cyanistes caeruleus,m3,-1292.6112604008572,0.0060539416573367685,631.7464350350473,-1.4173425652852294,104.78370641411816,0.9803439803439804,0.26829871514223236,0.8461538461538461,1,0.9166666666666666
emberiza schoeniclus,m1,-8.902741100273559,0.1660489258985427,NA,NA,1383.033704978001,0.9913822380709824,0.08095847582568902,0.992,0.9538461538461539,0.9725490196078431
parus major,m2,582.1953729598894,0.42753715105782775,-240.78483836132864,NA,189.32517837002663,0.9046283309957924,0.38269112928939575,0.7857142857142857,0.9565217391304348,0.8627450980392156
phylloscopus collybita,m3,11.84562401204073,0.5121591436011673,-14.814110213804364,-0.5246062841198861,224.06468923670354,0.8626964433416047,0.1725162367302058,0.7380952380952381,1,0.8493150684931507
turdus merula,m2,-4340.418544715962,0.16815975536371114,2270.301785983649,NA,281.3167675050915,0.939444444444445,0.034824899058302466,0.696969696969697,0.92,0.793103448275862
