model,AIC,AUC,threshold,precision,recall,F1,species
m1,274.098624952424,0.9023462270133165,0.087445387912814,0.7083333333333334,0.8947368421052632,0.7906976744186046,acrocephalus arundinaceus
m2,276.0340471358099,0.9023462270133165,0.09154174892862806,0.7083333333333334,0.8947368421052632,0.7906976744186046,acrocephalus arundinaceus
m3,261.04830547185827,0.9334178820545337,0.14760005468659285,1,0.8421052631578947,0.9142857142857143,acrocephalus arundinaceus
m1,271.9204393421139,0.9598911070780394,0.06715059956272505,0.9642857142857143,0.9310344827586207,0.9473684210526316,acrocephalus schoenobaenus
m2,273.9186745752688,0.9615245009074409,0.06714863238658142,0.9642857142857143,0.9310344827586207,0.9473684210526316,acrocephalus schoenobaenus
m3,269.9305486852371,0.9596188747731399,0.092009033269659,0.9642857142857143,0.9310344827586207,0.9473684210526316,acrocephalus schoenobaenus
m1,846.8904944444993,0.9447025422635217,0.10710395552061797,0.8133333333333334,0.9682539682539683,0.8840579710144927,acrocephalus scirpaceus
m2,848.1204820284661,0.9105045812362911,0.10388958211040192,0.7176470588235294,0.9682539682539683,0.8243243243243243,acrocephalus scirpaceus
m3,840.7267899575337,0.9665118079752262,0.2668590097815975,1,0.9206349206349206,0.9586776859504132,acrocephalus scirpaceus
m1,238.02325521117368,0.6903409090909097,0.07464194295360083,0.34545454545454546,0.8636363636363636,0.4935064935064935,anas platyrhynchos
m2,238.50864077201243,0.6806818181818185,0.07281821838196095,0.3392857142857143,0.8636363636363636,0.48717948717948717,anas platyrhynchos
m3,239.9231533591216,0.7403409090909093,0.08544729336771359,0.48148148148148145,0.5909090909090909,0.5306122448979591,anas platyrhynchos
m1,131.07521938421817,0.9527559055118057,0.023417684823306067,0.8666666666666667,0.9285714285714286,0.896551724137931,carpodacus erythrinus
m2,133.07529991387244,0.9524746906636616,0.0234193054974947,0.8666666666666667,0.9285714285714286,0.896551724137931,carpodacus erythrinus
m3,128.43189898190576,0.992377188029362,2.534260431443286e-4,0.875,1,0.9333333333333333,carpodacus erythrinus
m1,136.1581921250953,0.747800586510264,0.2548287308123841,0.14285714285714285,0.36363636363636365,0.2051282051282051,certhia familiaris
m2,129.41356054722274,0.7214076246334311,0.2504982525831814,0.14814814814814814,0.36363636363636365,0.21052631578947367,certhia familiaris
m3,135.40503113544133,0.48387096774193555,0.3749207648668088,0.08333333333333333,0.09090909090909091,0.08695652173913043,certhia familiaris
m1,179.94445538745887,0.7509803921568627,0.13333487787367065,0.5151515151515151,1,0.6799999999999999,cyanistes caeruleus
m2,181.45044526124548,0.6852941176470588,0.10213120609435311,0.4594594594594595,1,0.6296296296296297,cyanistes caeruleus
m3,169.10864698106553,0.7980392156862743,0.22118602062664094,0.5161290322580645,0.9411764705882353,0.6666666666666666,cyanistes caeruleus
m1,2447.68676353211,0.9926698262243202,0.021507246673214946,0.9948717948717949,0.97,0.9822784810126582,emberiza schoeniclus
m2,2445.0957838787795,0.9770497630331687,0.03877666629026047,0.6928571428571428,0.97,0.8083333333333333,emberiza schoeniclus
m3,2418.7369682645694,0.9921800947867184,0.014060146235954874,0.9948717948717949,0.97,0.9822784810126582,emberiza schoeniclus
m1,266.3755812845639,0.8907496012759171,0.30133377023864216,0.85,0.7727272727272727,0.8095238095238095,fulica atra
m2,263.73525739555,0.5350877192982456,0.52520304330881,0,0,0,fulica atra
m3,266.982319037828,0.8931419457735245,0.2815084222661086,0.7727272727272727,0.7727272727272727,0.7727272727272727,fulica atra
m1,149.62008237690824,1,0.026301295301579798,1,1,1,locustella luscinioides
m2,151.61538952583962,1,0.02631352182770253,1,1,1,locustella luscinioides
m3,151.36517099081675,1,0.024931975047226336,1,1,1,locustella luscinioides
m1,229.14613147877364,0.8004201680672269,0.31495740845562475,0.6666666666666666,0.8571428571428571,0.75,parus major
m2,227.77891556115483,0.8270308123249299,0.31857647960491753,0.6666666666666666,0.8571428571428571,0.75,parus major
m3,231.06159346807547,0.8032212885154062,0.2905353191570741,0.6666666666666666,0.8571428571428571,0.75,parus major
m1,260.8597057581058,0.9172535211267604,0.10145513011277778,0.7441860465116279,1,0.8533333333333333,phylloscopus collybita
m2,262.81464372686764,0.9172535211267604,0.10121401604710467,0.7441860465116279,1,0.8533333333333333,phylloscopus collybita
m3,259.4467493356395,0.9203345070422535,0.1210164074875318,0.7441860465116279,1,0.8533333333333333,phylloscopus collybita
m1,363.94964593671835,0.6546583850931679,0.035685939634497066,0.32727272727272727,0.6428571428571429,0.43373493975903615,turdus merula
m2,356.60944405907526,0.8605590062111805,0.02681745093130001,0.4727272727272727,0.9285714285714286,0.6265060240963856,turdus merula
m3,365.8471497323721,0.66583850931677,0.039104154329298924,0.3333333333333333,0.6428571428571429,0.43902439024390244,turdus merula
