species,best_model,F1,AUC,threshold,usage_instruction
acrocephalus arundinaceus,m3,0.972972972972973,0.9891107078039933,0.18624805231107064,"Standartizė: conf_z=(conf-0.450)/0.289, site_z=(site-0.748)/0.102, week_z=(week-0.492)/0.169
P = 1/(1+exp(-(-22.074 + 0.006×conf_z + -15.220×site_z + 6.671×week_z)))
IF P ≥ 0.186 → ACCEPT"
emberiza schoeniclus,m1,0.9725490196078431,0.9913822380709824,0.08095847582568902,"Standartizē: conf_z = (conf - 0.450) / 0.289
Aprēķina: P = 1/(1+exp(-(-8.903 + 0.166×conf_z)))
IF P ≥ 0.081 → ACCEPT"
acrocephalus schoenobaenus,m2,0.9615384615384616,0.9739098481136631,0.07904052901915096,"Standartizē: conf_z = (conf-0.450)/0.289, site_z = (site-0.748)/0.102
P = 1/(1+exp(-(-10.345 + 1.057×conf_z + 6.080×site_z)))
IF P ≥ 0.079 → ACCEPT"
acrocephalus scirpaceus,m1,0.9491525423728813,0.9884731670445956,0.21622859671075817,"Standartizē: conf_z = (conf - 0.450) / 0.289
Aprēķina: P = 1/(1+exp(-(-4.570 + -0.137×conf_z)))
IF P ≥ 0.216 → ACCEPT"
cyanistes caeruleus,m3,0.9166666666666666,0.9803439803439804,0.26829871514223236,"Standartizė: conf_z=(conf-0.450)/0.289, site_z=(site-0.748)/0.102, week_z=(week-0.492)/0.169
P = 1/(1+exp(-(-1292.611 + 0.006×conf_z + 631.746×site_z + -1.417×week_z)))
IF P ≥ 0.268 → ACCEPT"
parus major,m2,0.8627450980392156,0.9046283309957924,0.38269112928939575,"Standartizē: conf_z = (conf-0.450)/0.289, site_z = (site-0.748)/0.102
P = 1/(1+exp(-(582.195 + 0.428×conf_z + -240.785×site_z)))
IF P ≥ 0.383 → ACCEPT"
phylloscopus collybita,m3,0.8493150684931507,0.8626964433416047,0.1725162367302058,"Standartizė: conf_z=(conf-0.450)/0.289, site_z=(site-0.748)/0.102, week_z=(week-0.492)/0.169
P = 1/(1+exp(-(11.846 + 0.512×conf_z + -14.814×site_z + -0.525×week_z)))
IF P ≥ 0.173 → ACCEPT"
turdus merula,m2,0.793103448275862,0.939444444444445,0.034824899058302466,"Standartizē: conf_z = (conf-0.450)/0.289, site_z = (site-0.748)/0.102
P = 1/(1+exp(-(-4340.419 + 0.168×conf_z + 2270.302×site_z)))
IF P ≥ 0.035 → ACCEPT"
anas platyrhynchos,m3,0.6,0.5984848484848485,1.611384628552974e-4,"Standartizė: conf_z=(conf-0.450)/0.289, site_z=(site-0.748)/0.102, week_z=(week-0.492)/0.169
P = 1/(1+exp(-(7260.142 + -0.161×conf_z + -3201.794×site_z + 0.691×week_z)))
IF P ≥ 0.000 → ACCEPT"
certhia familiaris,m3,0.5945945945945945,0.6509090909090908,0.24249748509298852,"Standartizė: conf_z=(conf-0.450)/0.289, site_z=(site-0.748)/0.102, week_z=(week-0.492)/0.169
P = 1/(1+exp(-(-2414.852 + 0.031×conf_z + 9057.956×site_z + -1.143×week_z)))
IF P ≥ 0.242 → ACCEPT"
