species,best_model,F1,AUC,threshold,Instrukcija
locustella luscinioides,m1,1,1,0.026301295301579798,NA
emberiza schoeniclus,m1,0.9822784810126582,0.9926698262243202,0.021507246673214946,NA
acrocephalus scirpaceus,m3,0.9586776859504132,0.9665118079752262,0.2668590097815975,NA
acrocephalus schoenobaenus,m2,0.9473684210526316,0.9615245009074409,0.06714863238658142,NA
carpodacus erythrinus,m3,0.9333333333333333,0.992377188029362,2.534260431443286e-4,NA
acrocephalus arundinaceus,m3,0.9142857142857143,0.9334178820545337,0.14760005468659285,NA
phylloscopus collybita,m3,0.8533333333333333,0.9203345070422535,0.1210164074875318,NA
fulica atra,m1,0.8095238095238095,0.8907496012759171,0.30133377023864216,NA
parus major,m2,0.75,0.8270308123249299,0.31857647960491753,NA
cyanistes caeruleus,m1,0.6799999999999999,0.7509803921568627,0.13333487787367065,NA
turdus merula,m2,0.6265060240963856,0.8605590062111805,0.02681745093130001,NA
anas platyrhynchos,m3,0.5306122448979591,0.7403409090909093,0.08544729336771359,NA
certhia familiaris,m2,0.21052631578947367,0.7214076246334311,0.2504982525831814,NA
