scientific_name
Acanthis flammea
Accipiter gentilis
Accipiter nisus
Acrocephalus agricola
Acrocephalus arundinaceus
Acrocephalus dumetorum
Acrocephalus paludicola
Acrocephalus palustris
Acrocephalus schoenobaenus
Acrocephalus scirpaceus
Actitis hypoleucos
Aegithalos caudatus
Aegolius funereus
Aegypius monachus
Aix galericulata
Aix sponsa
Alauda arvensis
Alca torda
Alcedo atthis
Alle alle
Alopochen aegyptiaca
Anarhynchus leschenaultii
Anas acuta
Anas bahamensis
Anas crecca
Anas platyrhynchos
Anser albifrons
Anser anser
Anser brachyrhynchus
Anser caerulescens
Anser erythropus
Anser fabalis
Anser indicus
Anser serrirostris
Anthus campestris
Anthus cervinus
Anthus hodgsoni
Anthus petrosus
Anthus pratensis
Anthus richardi
Anthus spinoletta
Anthus trivialis
Apus apus
Apus melba
Aquila chrysaetos
Aquila heliaca
Aquila nipalensis
Ardea alba
Ardea cinerea
Ardenna grisea
Ardeola ralloides
Arenaria interpres
Asio flammeus
Asio otus
Athene noctua
Aythya collaris
Aythya ferina
Aythya fuligula
Aythya marila
Aythya nyroca
Bombycilla garrulus
Botaurus stellaris
Branta bernicla
Branta canadensis
Branta hutchinsii
Branta leucopsis
Branta ruficollis
Bubo bubo
Bubo scandiacus
Bubulcus ibis
Bucephala clangula
Buteo buteo
Buteo lagopus
Buteo rufinus
Cairina moschata
Calandrella brachydactyla
Calcarius lapponicus
Calidris alba
Calidris alpina
Calidris canutus
Calidris falcinellus
Calidris ferruginea
Calidris maritima
Calidris melanotos
Calidris minuta
Calidris pugnax
Calidris temminckii
Calidris tenuirostris
Calliope calliope
Caprimulgus europaeus
Caracara plancus
Carduelis carduelis
Carpodacus erythrinus
Cecropis rufula
Cepphus grylle
Certhia brachydactyla
Certhia familiaris
Cettia cetti
Charadrius alexandrinus
Charadrius dubius
Charadrius hiaticula
Chlamydotis macqueenii
Charadrius morinellus
Chlidonias hybrida
Chlidonias leucopterus
Chlidonias niger
Chloris chloris
Chroicocephalus ridibundus
Ciconia ciconia
Ciconia nigra
Cinclus cinclus
Circaetus gallicus
Circus aeruginosus
Circus cyaneus
Circus macrourus
Circus pygargus
Clanga clanga
Clanga pomarina
Clangula hyemalis
Coccothraustes coccothraustes
Columba livia
Columba oenas
Columba palumbus
Coracias garrulus
Corvus corax
Corvus cornix
Corvus corone
Corvus frugilegus
Corvus monedula
Coturnix coturnix
Crex crex
Cuculus canorus
Curruca communis
Curruca curruca
Curruca nana
Curruca nisoria
Cyanistes caeruleus
Cyanistes cyanus
Cygnus atratus
Cygnus columbianus
Cygnus cygnus
Cygnus olor
Delichon urbicum
Dendrocopos leucotos
Dendrocopos major
Dendrocoptes medius
Dryobates minor
Dryocopus martius
Egretta garzetta
Elanus caeruleus
Emberiza aureola
Emberiza calandra
Emberiza citrinella
Emberiza hortulana
Emberiza leucocephalos
Emberiza melanocephala
Emberiza pusilla
Emberiza rustica
Emberiza schoeniclus
Eremophila alpestris
Erithacus rubecula
Falco biarmicus
Falco cherrug
Falco columbarius
Falco peregrinus
Falco rusticolus
Falco subbuteo
Falco tinnunculus
Falco vespertinus
Ficedula albicollis
Ficedula hypoleuca
Ficedula parva
Fringilla coelebs
Fringilla montifringilla
Fulica atra
Galerida cristata
Gallinago gallinago
Gallinago media
Gallinula chloropus
Garrulus glandarius
Gavia adamsii
Gavia arctica
Gavia immer
Gavia stellata
Glareola nordmanni
Glareola pratincola
Glaucidium passerinum
Grus grus
Gyps fulvus
Gyps rueppellii
Haematopus ostralegus
Haliaeetus albicilla
Helopsaltes certhiola
Hieraaetus pennatus
Himantopus himantopus
Hippolais icterina
Hirundo rustica
Histrionicus histrionicus
Hydrobates leucorhous
Hydrocoloeus minutus
Hydroprogne caspia
Ichthyaetus ichthyaetus
Ichthyaetus melanocephalus
Iduna caligata
Ixobrychus minutus
Jynx torquilla
Lagopus lagopus
Lanius collurio
Lanius excubitor
Lanius isabellinus
Lanius minor
Lanius phoenicuroides
Larus argentatus
Larus cachinnans
Larus canus
Larus delawarensis
Larus fuscus
Larus glaucoides
Larus hyperboreus
Larus marinus
Larus michahellis
Larus schistisagus
Leucophaeus atricilla
Limosa lapponica
Limosa limosa
Linaria cannabina
Linaria flavirostris
