recording_id,site_id,datetime,datetime_utc,sample_rate,duration,samples,file_size,bit_rate,sample_encoding,upload_time,meta,url
253369874,69990,05/22/2025 05:55:00,05/22/2025 02:55:00,48000,60,2880000,0,390354,flac,07/08/2025 11:16:28,"{""comment"":""GUANO|Version:1.0;Make:Open Acoustic Devices;Model:AudioMoth;Serial:24F3190863F8CFCD;Firmware Version:AudioMoth-Firmware-Basic (1.11.0);Timestamp:2025-05-22T02:55:00Z;Loc Position:56.992213 23.435172;OAD|Loc Source:Acoustic chime;Original Filename:20250522_025500.WAV;OAD|Recording Settings:48000 GAIN 2;OAD|Battery Voltage:5.0;Temperature Int:8.3"",""artist"":""AudioMoth"",""encoder"":""Lavf58.24.101"",""filename"":""20250522_025500.WAV""}",https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2025/05/22/o3s1fkar87qg/81b71d78-cb3e-4892-8476-07fa40a66e3d.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20251210%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20251210T090638Z&X-Amz-Expires=604800&X-Amz-Signature=a6e0b63923d55635f06a815a0aa627ecd018e1fce718fb2337b349ddb8ea9bde&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D81b71d78-cb3e-4892-8476-07fa40a66e3d.flac&x-id=GetObject
253369875,69990,05/22/2025 12:40:00,05/22/2025 09:40:00,48000,60,2880000,0,398255,flac,07/08/2025 11:16:29,"{""comment"":""GUANO|Version:1.0;Make:Open Acoustic Devices;Model:AudioMoth;Serial:24F3190863F8CFCD;Firmware Version:AudioMoth-Firmware-Basic (1.11.0);Timestamp:2025-05-22T09:40:00Z;Loc Position:56.992213 23.435172;OAD|Loc Source:Acoustic chime;Original Filename:20250522_094000.WAV;OAD|Recording Settings:48000 GAIN 2;OAD|Battery Voltage:5.0;Temperature Int:24.4"",""artist"":""AudioMoth"",""encoder"":""Lavf58.24.101"",""filename"":""20250522_094000.WAV""}",https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2025/05/22/o3s1fkar87qg/a08e35de-ae75-4c40-a19c-19430f97e8c6.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20251210%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20251210T090638Z&X-Amz-Expires=604800&X-Amz-Signature=3743dc4c399cd49838f67ea1220bf2a312aff3b9d82de91c915be3c289b5cc61&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Da08e35de-ae75-4c40-a19c-19430f97e8c6.flac&x-id=GetObject
253369876,69990,05/22/2025 05:35:00,05/22/2025 02:35:00,48000,60,2880000,0,392296,flac,07/08/2025 11:16:29,"{""comment"":""GUANO|Version:1.0;Make:Open Acoustic Devices;Model:AudioMoth;Serial:24F3190863F8CFCD;Firmware Version:AudioMoth-Firmware-Basic (1.11.0);Timestamp:2025-05-22T02:35:00Z;Loc Position:56.992213 23.435172;OAD|Loc Source:Acoustic chime;Original Filename:20250522_023500.WAV;OAD|Recording Settings:48000 GAIN 2;OAD|Battery Voltage:5.0;Temperature Int:6.4"",""artist"":""AudioMoth"",""encoder"":""Lavf58.24.101"",""filename"":""20250522_023500.WAV""}",https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2025/05/22/o3s1fkar87qg/8b973172-b5b4-4402-9dd3-0224f10338fb.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20251210%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20251210T090638Z&X-Amz-Expires=604800&X-Amz-Signature=24fde93812cc5c44c162114102979ef17b19aede47313379dc64b3bd6b88a7f3&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D8b973172-b5b4-4402-9dd3-0224f10338fb.flac&x-id=GetObject
253369881,69990,05/22/2025 05:25:00,05/22/2025 02:25:00,48000,60,2880000,0,389733,flac,07/08/2025 11:16:31,"{""comment"":""GUANO|Version:1.0;Make:Open Acoustic Devices;Model:AudioMoth;Serial:24F3190863F8CFCD;Firmware Version:AudioMoth-Firmware-Basic (1.11.0);Timestamp:2025-05-22T02:25:00Z;Loc Position:56.992213 23.435172;OAD|Loc Source:Acoustic chime;Original Filename:20250522_022500.WAV;OAD|Recording Settings:48000 GAIN 2;OAD|Battery Voltage:5.0;Temperature Int:6.3"",""artist"":""AudioMoth"",""encoder"":""Lavf58.24.101"",""filename"":""20250522_022500.WAV""}",https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2025/05/22/o3s1fkar87qg/31a017bf-ad31-455f-bc6d-1b7a32ecea17.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20251210%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20251210T090639Z&X-Amz-Expires=604800&X-Amz-Signature=423e516d27b1e7da4af4aa971ec947c310c1f58ccbd49e55c135d2edb258400b&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D31a017bf-ad31-455f-bc6d-1b7a32ecea17.flac&x-id=GetObject
253369882,69990,05/22/2025 11:05:00,05/22/2025 08:05:00,48000,60,2880000,0,398194,flac,07/08/2025 11:16:31,"{""comment"":""GUANO|Version:1.0;Make:Open Acoustic Devices;Model:AudioMoth;Serial:24F3190863F8CFCD;Firmware Version:AudioMoth-Firmware-Basic (1.11.0);Timestamp:2025-05-22T08:05:00Z;Loc Position:56.992213 23.435172;OAD|Loc Source:Acoustic chime;Original Filename:20250522_080500.WAV;OAD|Recording Settings:48000 GAIN 2;OAD|Battery Voltage:5.0;Temperature Int:23.6"",""artist"":""AudioMoth"",""encoder"":""Lavf58.24.101"",""filename"":""20250522_080500.WAV""}",https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2025/05/22/o3s1fkar87qg/6f1036b1-684a-4996-94e6-2da055d2edc0.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20251210%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20251210T090639Z&X-Amz-Expires=604800&X-Amz-Signature=7bbf5c635517110f4080e5a0d0eb58da3898ca9d8cb6f1961dc8876b3b25640e&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D6f1036b1-684a-4996-94e6-2da055d2edc0.flac&x-id=GetObject
253369886,69990,05/22/2025 04:50:00,05/22/2025 01:50:00,48000,60,2880000,0,389832,flac,07/08/2025 11:16:32,"{""comment"":""GUANO|Version:1.0;Make:Open Acoustic Devices;Model:AudioMoth;Serial:24F3190863F8CFCD;Firmware Version:AudioMoth-Firmware-Basic (1.11.0);Timestamp:2025-05-22T01:50:00Z;Loc Position:56.992213 23.435172;OAD|Loc Source:Acoustic chime;Original Filename:20250522_015000.WAV;OAD|Recording Settings:48000 GAIN 2;OAD|Battery Voltage:5.0;Temperature Int:6.0"",""artist"":""AudioMoth"",""encoder"":""Lavf58.24.101"",""filename"":""20250522_015000.WAV""}",https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2025/05/22/o3s1fkar87qg/fad5bec7-d5c4-4b59-aa33-698e2d7aac4f.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20251210%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20251210T090639Z&X-Amz-Expires=604800&X-Amz-Signature=3b8a8c39347f184c82f0166e7f070788ee9f3f3572b595829111ac15df1e91d1&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dfad5bec7-d5c4-4b59-aa33-698e2d7aac4f.flac&x-id=GetObject
253369890,69990,05/22/2025 11:25:00,05/22/2025 08:25:00,48000,60,2880000,0,392564,flac,07/08/2025 11:16:33,"{""comment"":""GUANO|Version:1.0;Make:Open Acoustic Devices;Model:AudioMoth;Serial:24F3190863F8CFCD;Firmware Version:AudioMoth-Firmware-Basic (1.11.0);Timestamp:2025-05-22T08:25:00Z;Loc Position:56.992213 23.435172;OAD|Loc Source:Acoustic chime;Original Filename:20250522_082500.WAV;OAD|Recording Settings:48000 GAIN 2;OAD|Battery Voltage:5.0;Temperature Int:24.5"",""artist"":""AudioMoth"",""encoder"":""Lavf58.24.101"",""filename"":""20250522_082500.WAV""}",https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2025/05/22/o3s1fkar87qg/0af51f81-1330-479c-8236-12d7ee84232f.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20251210%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20251210T090639Z&X-Amz-Expires=604800&X-Amz-Signature=c9d2a9b08f22fcf7e6541ef38572b9b3267ff03cd0658824142be266d90ae434&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D0af51f81-1330-479c-8236-12d7ee84232f.flac&x-id=GetObject
253369894,69990,05/22/2025 04:10:00,05/22/2025 01:10:00,48000,60,2880000,0,391416,flac,07/08/2025 11:16:34,"{""comment"":""GUANO|Version:1.0;Make:Open Acoustic Devices;Model:AudioMoth;Serial:24F3190863F8CFCD;Firmware Version:AudioMoth-Firmware-Basic (1.11.0);Timestamp:2025-05-22T01:10:00Z;Loc Position:56.992213 23.435172;OAD|Loc Source:Acoustic chime;Original Filename:20250522_011000.WAV;OAD|Recording Settings:48000 GAIN 2;OAD|Battery Voltage:5.0;Temperature Int:5.3"",""artist"":""AudioMoth"",""encoder"":""Lavf58.24.101"",""filename"":""20250522_011000.WAV""}",https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2025/05/22/o3s1fkar87qg/bdce3b78-6b73-4775-8683-6e13c8665d94.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20251210%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20251210T090639Z&X-Amz-Expires=604800&X-Amz-Signature=86b37432bca3ff32dbed4cb201dc340c89e9cd720526c5adfb356da96ef82d7e&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3Dbdce3b78-6b73-4775-8683-6e13c8665d94.flac&x-id=GetObject
253369896,69990,05/22/2025 04:00:00,05/22/2025 01:00:00,48000,60,2880000,0,395303,flac,07/08/2025 11:16:35,"{""comment"":""GUANO|Version:1.0;Make:Open Acoustic Devices;Model:AudioMoth;Serial:24F3190863F8CFCD;Firmware Version:AudioMoth-Firmware-Basic (1.11.0);Timestamp:2025-05-22T01:00:00Z;Loc Position:56.992213 23.435172;OAD|Loc Source:Acoustic chime;Original Filename:20250522_010000.WAV;OAD|Recording Settings:48000 GAIN 2;OAD|Battery Voltage:5.0;Temperature Int:5.3"",""artist"":""AudioMoth"",""encoder"":""Lavf58.24.101"",""filename"":""20250522_010000.WAV""}",https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2025/05/22/o3s1fkar87qg/6dbaf514-c30a-40dd-a191-c87e7c320395.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20251210%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20251210T090639Z&X-Amz-Expires=604800&X-Amz-Signature=3cffa1dbf1effcf5b8866865a05f3b29fe3d45820da0c654da7e6ffc92c0e54b&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D6dbaf514-c30a-40dd-a191-c87e7c320395.flac&x-id=GetObject
253369897,69990,05/22/2025 13:30:00,05/22/2025 10:30:00,48000,60,2880000,0,443657,flac,07/08/2025 11:16:36,"{""comment"":""GUANO|Version:1.0;Make:Open Acoustic Devices;Model:AudioMoth;Serial:24F3190863F8CFCD;Firmware Version:AudioMoth-Firmware-Basic (1.11.0);Timestamp:2025-05-22T10:30:00Z;Loc Position:56.992213 23.435172;OAD|Loc Source:Acoustic chime;Original Filename:20250522_103000.WAV;OAD|Recording Settings:48000 GAIN 2;OAD|Battery Voltage:5.0;Temperature Int:27.4"",""artist"":""AudioMoth"",""encoder"":""Lavf58.24.101"",""filename"":""20250522_103000.WAV""}",https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2025/05/22/o3s1fkar87qg/489e3bb7-d507-490f-a947-6b54583cbb17.flac?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA45B7YWBX5HAZMGOU%2F20251210%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20251210T090639Z&X-Amz-Expires=604800&X-Amz-Signature=c8ace4642890cf7c8da85ad11ac8d2f422322d48ea6af854f59ef8372de0e694&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3D489e3bb7-d507-490f-a947-6b54583cbb17.flac&x-id=GetObject
