"scientific_name","common_name","confidence","site_id","quadrant","mic_type"
"Corvus cornix","Hooded Crow",0.998723208904266,69162,"Q1","M5"
"Parus major","Great Tit",0.995695114135742,69162,"Q1","M5"
"Motacilla alba","Pied Wagtail/White Wagtail",0.982123970985413,69162,"Q1","M5"
"Anas platyrhynchos","Mallard",0.980589985847473,69162,"Q1","M5"
"Chroicocephalus ridibundus","Black-headed Gull",0.974840342998505,69162,"Q1","M5"
"Fringilla coelebs","Common Chaffinch",0.964709579944611,69162,"Q1","M5"
"Hirundo rustica","Barn Swallow",0.961690366268158,69162,"Q1","M5"
"Sturnus vulgaris","Common Starling",0.957459092140198,69162,"Q1","M5"
"Cyanistes caeruleus","Eurasian Blue Tit",0.956452965736389,69162,"Q1","M5"
"Larus argentatus","Herring Gull",0.955264747142792,69162,"Q1","M5"
"Erithacus rubecula","European Robin",0.952714562416077,69162,"Q1","M5"
"Apus apus","Common Swift",0.952659070491791,69162,"Q1","M5"
"Turdus merula","Eurasian Blackbird",0.943460643291473,69162,"Q1","M5"
"Columba palumbus","Common Woodpigeon",0.942828714847565,69162,"Q1","M5"
"Corvus monedula","Eurasian Jackdaw",0.924830555915833,69162,"Q1","M5"
"Cygnus olor","Mute Swan",0.922212600708008,69162,"Q1","M5"
"Turdus pilaris","Fieldfare",0.917028665542603,69162,"Q1","M5"
"Bucephala clangula","Common Goldeneye",0.897726953029633,69162,"Q1","M5"
"Passer montanus","Eurasian Tree Sparrow",0.896583676338196,69162,"Q1","M5"
"Garrulus glandarius","Eurasian Jay",0.8944291472435,69162,"Q1","M5"
"Ardea cinerea","Grey Heron",0.884272813796997,69162,"Q1","M5"
"Pica pica","Common Magpie",0.880813956260681,69162,"Q1","M5"
"Phylloscopus collybita","Common Chiffchaff",0.879809021949768,69162,"Q1","M5"
"Larus canus","Common Gull",0.874775171279907,69162,"Q1","M5"
"Corvus corax","Common Raven",0.873566448688507,69162,"Q1","M5"
"Troglodytes troglodytes","Eurasian Wren",0.867725551128387,69162,"Q1","M5"
"Vanellus vanellus","Northern Lapwing",0.864350438117981,69162,"Q1","M5"
"Alauda arvensis","Eurasian Skylark",0.863962173461914,69162,"Q1","M5"
"Emberiza citrinella","Yellowhammer",0.863347887992859,69162,"Q1","M5"
"Phylloscopus trochilus","Willow Warbler",0.856903076171875,69162,"Q1","M5"
"Phalacrocorax carbo","Great Cormorant",0.85576981306076,69162,"Q1","M5"
"Sterna hirundo","Common Tern",0.84139734506607,69162,"Q1","M5"
"Mergus merganser","Goosander",0.841066956520081,69162,"Q1","M5"
"Delichon urbicum","Western House Martin",0.835248589515686,69162,"Q1","M5"
"Turdus philomelos","Song Thrush",0.830076336860657,69162,"Q1","M5"
"Curruca communis","Common Whitethroat",0.829925000667572,69162,"Q1","M5"
"Dendrocopos major","Great Spotted Woodpecker",0.827164232730865,69162,"Q1","M5"
"Regulus regulus","Goldcrest",0.82605516910553,69162,"Q1","M5"
"Sylvia atricapilla","Eurasian Blackcap",0.822218298912048,69162,"Q1","M5"
"Chloris chloris","European Greenfinch",0.820589482784271,69162,"Q1","M5"
"Anthus pratensis","Meadow Pipit",0.817189276218414,69162,"Q1","M5"
"Columba livia","Rock Dove",0.815681457519531,69162,"Q1","M5"
"Carduelis carduelis","European Goldfinch",0.806940734386444,69162,"Q1","M5"
"Pyrrhula pyrrhula","Eurasian Bullfinch",0.802110195159912,69162,"Q1","M5"
"Cygnus cygnus","Whooper Swan",0.800067484378815,69162,"Q1","M5"
"Buteo buteo","Common Buzzard",0.799585998058319,69162,"Q1","M5"
"Podiceps cristatus","Great Crested Grebe",0.79765796661377,69162,"Q1","M5"
"Larus marinus","Great Black-backed Gull",0.787557721138,69162,"Q1","M5"
"Fulica atra","Eurasian Coot",0.786587357521057,69162,"Q1","M5"
"Spinus spinus","Eurasian Siskin",0.781909227371216,69162,"Q1","M5"
"Certhia familiaris","Eurasian Treecreeper",0.77622264623642,69162,"Q1","M5"
"Corvus frugilegus","Rook",0.766726732254028,69162,"Q1","M5"
"Cuculus canorus","Common Cuckoo",0.765863418579102,69162,"Q1","M5"
"Passer domesticus","House Sparrow",0.764950811862946,69162,"Q1","M5"
"Linaria cannabina","Common Linnet",0.762132525444031,69162,"Q1","M5"
"Grus grus","Common Crane",0.756959915161133,69162,"Q1","M5"
"Emberiza schoeniclus","Common Reed Bunting",0.753254652023315,69162,"Q1","M5"
"Sitta europaea","Eurasian Nuthatch",0.750628292560577,69162,"Q1","M5"
"Accipiter nisus","Eurasian Sparrowhawk",0.750262677669525,69162,"Q1","M5"
"Mareca penelope","Eurasian Wigeon",0.747610807418823,69162,"Q1","M5"
"Bombycilla garrulus","Bohemian Waxwing",0.74439537525177,69162,"Q1","M5"
"Fringilla montifringilla","Brambling",0.729388654232025,69162,"Q1","M5"
"Ficedula hypoleuca","European Pied Flycatcher",0.727917075157166,69162,"Q1","M5"
"Aythya fuligula","Tufted Duck",0.726466298103333,69162,"Q1","M5"
"Lophophanes cristatus","Crested Tit",0.715477466583252,69162,"Q1","M5"
"Gallinago gallinago","Common Snipe",0.713104963302612,69162,"Q1","M5"
"Luscinia luscinia","Thrush Nightingale",0.708507597446442,69162,"Q1","M5"
"Saxicola rubetra","Whinchat",0.70714521408081,69162,"Q1","M5"
"Anas crecca","Eurasian/Green-winged Teal",0.702800512313843,69162,"Q1","M5"
"Ardea alba","Great White Egret",0.70104843378067,69162,"Q1","M5"
"Calidris alpina","Dunlin",0.700329899787903,69162,"Q1","M5"
"Haliaeetus albicilla","White-tailed Eagle",0.700119137763977,69162,"Q1","M5"
"Turdus iliacus","Redwing",0.697998285293579,69162,"Q1","M5"
"Phylloscopus sibilatrix","Wood Warbler",0.697778463363647,69162,"Q1","M5"
"Circus aeruginosus","Western Marsh Harrier",0.695647239685059,69162,"Q1","M5"
"Muscicapa striata","Spotted Flycatcher",0.69546627998352,69162,"Q1","M5"
"Acrocephalus schoenobaenus","Sedge Warbler",0.69501268863678,69162,"Q1","M5"
"Anthus trivialis","Tree Pipit",0.694102704524994,69162,"Q1","M5"
"Coccothraustes coccothraustes","Hawfinch",0.692785143852234,69162,"Q1","M5"
"Haematopus ostralegus","Eurasian Oystercatcher",0.690927863121033,69162,"Q1","M5"
"Periparus ater","Coal Tit",0.683774769306183,69162,"Q1","M5"
"Actitis hypoleucos","Common Sandpiper",0.683381199836731,69162,"Q1","M5"
"Poecile palustris","Marsh Tit",0.679775595664978,69162,"Q1","M5"
"Curruca curruca","Lesser Whitethroat",0.679628074169159,69162,"Q1","M5"
"Phoenicurus ochruros","Black Redstart",0.677386403083801,69162,"Q1","M5"
"Anser albifrons","Greater White-fronted Goose",0.677235007286072,69162,"Q1","M5"
"Lanius collurio","Red-backed Shrike",0.674601078033447,69162,"Q1","M5"
"Larus fuscus","Lesser Black-backed Gull",0.673506259918213,69162,"Q1","M5"
"Ciconia ciconia","White Stork",0.671634912490845,69162,"Q1","M5"
"Motacilla flava","Western Yellow Wagtail",0.671449661254883,69162,"Q1","M5"
"Branta leucopsis","Barnacle Goose",0.666653871536255,69162,"Q1","M5"
"Aegithalos caudatus","Long-tailed Tit",0.665499210357666,69162,"Q1","M5"
"Circus cyaneus","Hen Harrier",0.665404319763184,69162,"Q1","M5"
"Dryocopus martius","Black Woodpecker",0.664941906929016,69162,"Q1","M5"
"Melanitta fusca","Velvet Scoter",0.664544463157654,69162,"Q1","M5"
"Sylvia borin","Garden Warbler",0.663891196250916,69162,"Q1","M5"
"Phoenicurus phoenicurus","Common Redstart",0.660926997661591,69162,"Q1","M5"
"Oenanthe oenanthe","Northern Wheatear",0.656877636909485,69162,"Q1","M5"
"Tringa totanus","Common Redshank",0.655463695526123,69162,"Q1","M5"
"Carpodacus erythrinus","Common Rosefinch",0.652783155441284,69162,"Q1","M5"
"Clangula hyemalis","Long-tailed Duck",0.651460766792297,69162,"Q1","M5"
"Dryobates minor","Lesser Spotted Woodpecker",0.649451613426208,69162,"Q1","M5"
"Tadorna tadorna","Common Shelduck",0.643331170082092,69162,"Q1","M5"
"Charadrius hiaticula","Common Ringed Plover",0.641858756542206,69162,"Q1","M5"
"Lanius excubitor","Great Grey Shrike",0.641432344913483,69162,"Q1","M5"
"Mergellus albellus","Smew",0.641300559043884,69162,"Q1","M5"
"Loxia curvirostra","Common Crossbill",0.63926088809967,69162,"Q1","M5"
"Prunella modularis","Dunnock",0.63656347990036,69162,"Q1","M5"
"Tringa nebularia","Common Greenshank",0.636286437511444,69162,"Q1","M5"
"Accipiter gentilis","Eurasian Goshawk",0.635883450508118,69162,"Q1","M5"
"Poecile montanus","Willow Tit",0.635457277297974,69162,"Q1","M5"
"Lullula arborea","Woodlark",0.632672309875488,69162,"Q1","M5"
"Turdus viscivorus","Mistle Thrush",0.630062580108643,69162,"Q1","M5"
"Dendrocoptes medius","Middle Spotted Woodpecker",0.628058612346649,69162,"Q1","M5"
"Mareca strepera","Gadwall",0.627896070480347,69162,"Q1","M5"
"Aythya marila","Greater Scaup",0.621724247932434,69162,"Q1","M5"
"Acrocephalus arundinaceus","Great Reed Warbler",0.621565341949463,69162,"Q1","M5"
"Hydrocoloeus minutus","Little Gull",0.62122368812561,69162,"Q1","M5"
"Spatula clypeata","Northern Shoveler",0.61633425951004,69162,"Q1","M5"
"Hippolais icterina","Icterine Warbler",0.610068798065186,69162,"Q1","M5"
"Cygnus columbianus","Bewick's Swan",0.601458430290222,69162,"Q1","M5"
"Alcedo atthis","Common Kingfisher",0.598774194717407,69162,"Q1","M5"
"Melanitta nigra","Common Scoter",0.59803295135498,69162,"Q1","M5"
"Calidris pugnax","Ruff",0.596973419189453,69162,"Q1","M5"
"Panurus biarmicus","Bearded Tit",0.595796048641205,69162,"Q1","M5"
"Tringa glareola","Wood Sandpiper",0.595566809177399,69162,"Q1","M5"
"Acrocephalus scirpaceus","Common Reed Warbler",0.594689726829529,69162,"Q1","M5"
"Gallinula chloropus","Common Moorhen",0.590592384338379,69162,"Q1","M5"
