overlap_analyzed,metric,mean,median,sd,min,max,n
0,Precision,0.12455281846537034,0.07692307692307693,0.12707059511452548,0,0.75,69
0,sensitivity,0.5710491728131378,0.5797101449275363,0.32234845271103235,0,1,69
0,F1 Score,0.17778358129630215,0.14061096136567836,0.1392187721294874,0.00118168389955686,0.8571428571428571,66
0.5,Precision,0.13399988952884753,0.1,0.1348955928248639,0,0.75,69
0.5,sensitivity,0.6151769112698376,0.6388888888888888,0.3139291489921928,0,1,69
0.5,F1 Score,0.19154875440911615,0.16042053184910327,0.14406551915152097,0.00210084033613445,0.8571428571428571,66
1,Precision,0.13808341527903623,0.08955223880597014,0.1384984355536379,0,0.6666666666666666,69
1,sensitivity,0.7090395345789801,0.75,0.28266727994750934,0,1,69
1,F1 Score,0.1995690033508505,0.1568181818181818,0.15398784278534083,0.0016934801016088,0.8,68
1.5,Precision,0.1307263008599081,0.08333333333333333,0.13653898141322554,0,0.8333333333333334,69
1.5,sensitivity,0.7000753059797217,0.7714285714285715,0.29007190987710624,0,1,69
1.5,F1 Score,0.2008872542603403,0.1512087912087912,0.15652671564584023,0.00131018670160497,0.9090909090909092,66
