site_id,name,latitude,longitude,elevation,timezone,country_code,hidden,created_at
69162,Q1_M5,57.0265359,24.1897223,,Europe/Riga,LV,0,03/04/2025 10:54:51
69163,Q2_M1,56.9919611,24.3808376,,Europe/Riga,LV,0,03/04/2025 10:58:02
69164,Q2_M2,56.9729337,24.3045618,,Europe/Riga,LV,0,03/04/2025 11:01:31
69165,Q2_L,56.970288,24.3322374,,Europe/Riga,LV,0,03/04/2025 11:02:18
69989,Q1_L,57.15236,24.26619,,Europe/Riga,LV,0,03/19/2025 15:59:37
69990,Q3_L,56.99225,23.43508,,Europe/Riga,LV,0,03/19/2025 16:00:09
69992,Q4_L,56.78999,23.86431,,Europe/Riga,LV,0,03/19/2025 16:00:57
69994,Q2_M5,56.85657,24.28211,,Europe/Riga,LV,0,03/19/2025 16:02:04
69995,Q2_M4,56.87302,24.31075,,Europe/Riga,LV,0,03/19/2025 16:02:50
69996,Q2_M3,56.96181,24.27636,,Europe/Riga,LV,0,03/19/2025 16:04:20
70853,Q1_M1,57.1555214,24.3527377,,Europe/Riga,LV,0,04/14/2025 09:04:44
70854,Q1_M2,57.1181772,24.2695051,,Europe/Riga,LV,0,04/14/2025 09:06:10
70855,Q1_M3,57.0538451,24.1396075,,Europe/Riga,LV,0,04/14/2025 09:07:40
70856,Q1_M4,57.0492022,24.0897167,,Europe/Riga,LV,0,04/14/2025 09:08:28
70857,Q3_M1,56.9779998,23.880111,,Europe/Riga,LV,0,04/14/2025 09:10:24
70858,Q3_M3,56.9318615,23.6165822,,Europe/Riga,LV,0,04/14/2025 09:11:22
70859,Q3_M2,56.9472066,23.5701424,,Europe/Riga,LV,0,04/14/2025 09:11:55
70860,Q3_M5,56.8349491,23.5647297,,Europe/Riga,LV,0,04/14/2025 09:13:08
70861,Q3_M4,56.8833311,23.6170734,,Europe/Riga,LV,0,04/14/2025 09:13:46
71822,Q4_M1,56.7892615,23.5985738,0,Europe/Riga,LV,0,05/08/2025 08:19:04
71823,Q4_M2,56.8191126,23.8390718,0,Europe/Riga,LV,0,05/08/2025 08:20:32
71824,Q4_M3,56.8628602,24.1357476,0,Europe/Riga,LV,0,05/08/2025 08:21:55
78652,Q4_M4,56.8455836,24.1068464,,Europe/Riga,LV,0,08/28/2025 19:40:12
80381,Templates,56.93888325,24.11554484,,Europe/Riga,LV,1,10/02/2025 11:32:36
